Wk.Day,Month,Day,Year,Numeric_Time,TMP,WSP,WDR,ISO.tot.dmd,NH.RT.MWh,UES.Cap.DayLoad,UES.Sea.DayLoad,LMP.RT.NH,UES.Sea.NextDayLoad
Fri,8,26,2016,1,75,7,200,15020.25,1248.8,50.321,78.051,19.8,71.854
Fri,8,26,2016,2,74,7,210,14966.4,1207.3,48.669,75.021,19.68,67.551
Fri,8,26,2016,3,74,7,210,14762.88,1187.1,47.546,73.552,19.47,65.174
Fri,8,26,2016,4,73,6,250,14539.61,1201,48.176,73.772,18.84,64.206
Fri,8,26,2016,5,72,6,240,14526.14,1281.4,52.154,77.124,18.23,65.02
Fri,8,26,2016,6,70,7,230,15311.63,1411.1,59.773,84.116,17.57,67.131
Fri,8,26,2016,7,71,5,230,16797.31,1552.8,68.119,93.552,20.33,74.586
Fri,8,26,2016,8,73,5,240,18036.1,1653.2,74.018,101.589,21.71,84.792
Fri,8,26,2016,9,74,5,270,18951.32,1729.6,78.076,106.97,21.36,94.578
Fri,8,26,2016,10,74,3,270,19814.51,1796.4,81.114,113.29,27.44,101.684
Fri,8,26,2016,11,77,6,300,20650.21,1851.4,81.658,118.584,44.34,107.248
Fri,8,26,2016,12,78,5,0,21408.45,1875.5,84.606,121.317,54.9,111.153
Fri,8,26,2016,13,81,8,230,22067.27,1935.3,87.733,126.756,54.96,113.205
Fri,8,26,2016,14,84,9,300,22417.56,1999,91.038,132.52,54.66,113.59
Fri,8,26,2016,15,86,6,260,22821.49,2032.5,92.09,135.312,56.24,114.465
Fri,8,26,2016,16,87,8,310,23113.82,2036.9,90.36,136.41,60.89,114.344
Fri,8,26,2016,17,87,8,280,23020.95,2017.1,87.71,135.538,65.96,112.964
Fri,8,26,2016,18,86,8,260,22305.89,1952.4,81.94,130.952,44.22,108.126
Fri,8,26,2016,19,83,5,270,21461.51,1893.2,77.038,125.696,37.12,104.022
Fri,8,26,2016,20,80,9,290,20902.87,1848,75.119,122.238,29.77,101.898
Fri,8,26,2016,21,78,11,290,19536.09,1713.6,68.497,112.608,24.03,94.758
Fri,8,26,2016,22,75,7,310,17821.01,1539.3,59.356,99.998,21.76,86.073
Fri,8,26,2016,23,73,5,290,16220.6,1366.4,51.249,87.735,20.96,77.061
Sat,8,27,2016,0,71,5,300,14971.82,1236.3,46.228,77.919,25.1,70.066
Sat,8,27,2016,1,69,7,300,14158.68,1153.2,43.006,71.854,24.34,65.1
Sat,8,27,2016,2,65,2,280,14031.06,1096.8,41.032,67.551,25.3,62.404
Sat,8,27,2016,3,67,3,300,13826.88,1066.8,39.924,65.174,25.95,61.005
