"Month","Day","Year","Numeric_Time","cust_02","cust_03","cust_04","cust_06","cust_07","cust_08","cust_09","cust_10","cust_11","cust_12","cust_13","cust_15","cust_16","cust_19","cust_20","cust_21","cust_23","cust_25","cust_26"
5,17,2018,1,0.04,0.03,0.03,0.08,0.07,0.08,0.04,0.02,0.03,0.06,0.01,0.01,0,0.01,0.03,0.23,0.01,0.03,0.12
5,17,2018,1.25,0.08,0.04,0.02,0.09,0.07,0.06,0.06,0.03,0.03,0.07,0.04,0,0,0.02,0.04,0.25,0.01,0.03,0.1
5,17,2018,1.5,0.08,0.06,0.04,0.08,0.07,0.06,0.05,0.03,0.04,0.05,0.04,0.02,0,0.04,0.03,0.06,0.02,0.03,0.1
5,17,2018,1.75,0.07,0.07,0.02,0.11,0.06,0.05,0.04,0.05,0.03,0.05,0.04,0.03,0.01,0.05,0.02,0.05,0.01,0.02,0.13
5,17,2018,2,0.07,0.06,0.02,0.12,0.06,0.06,0.05,0.05,0.04,0.05,0.01,0,0,0.02,0.02,0.05,0.02,0.01,0.13
5,17,2018,2.25,0.07,0.06,0.02,0.11,0.08,0.07,0.06,0.05,0.05,0.05,0,0.01,0.01,0.02,0.01,0.05,0.02,0.01,0.08
5,17,2018,2.5,0.07,0.06,0.04,0.11,0.07,0.07,0.04,0.02,0.03,0.05,0.01,0,0.02,0.02,0.02,0.08,0.01,0.01,0.08
5,17,2018,2.75,0.53,0.03,0.02,0.11,0.07,0.06,0.04,0.02,0.05,0.05,0.04,0.01,0.03,0.01,0.02,0.06,0.02,0.01,0.1
5,17,2018,3,0.02,0.04,0.02,0.12,0.06,0.06,0.06,0.03,0.05,0.05,0,0.03,0.02,0.04,0.01,0.05,0.02,0.02,0.06
5,17,2018,3.25,0.04,0.03,0.02,0.11,0.06,0.05,0.05,0.04,0.05,0.05,0,0.01,0.02,0.05,0.02,0.05,0.02,0.03,0.02
5,17,2018,3.5,0.07,0.03,0.03,0.12,0.03,0.06,0.04,0.04,0.06,0.08,0.02,0.01,0.03,0.02,0.01,0.05,0.01,0.03,0.03
5,17,2018,3.75,0.07,0.03,0.03,0.11,0.04,0.08,0.04,0.03,0.04,0.05,0.04,0,0.02,0.02,0.04,0.07,0.02,0.03,0.04
5,17,2018,4,0.06,0.03,0.02,0.09,0.03,0.06,0.06,0.04,0.19,0.05,0,0.01,0.02,0.01,0.04,0.07,0.04,0.02,0.03
5,17,2018,4.25,0.03,0.03,0.01,0.12,0.04,0.06,0.04,0.04,0.09,0.05,0,0.02,0.03,0.02,0.03,0.05,0.03,0.01,0.02
5,17,2018,4.5,0.05,0.06,0.04,0.11,0.04,0.06,0.05,0.02,0.06,0.05,0.02,0.02,0.02,0.03,0.04,0.05,0.04,0.01,0.03
5,17,2018,4.75,0.08,0.08,0.11,0.11,0.03,0.05,0.05,0.02,0.08,0.05,0.03,0.01,0,0.05,0.01,0.05,0.03,0.01,0.04
5,17,2018,5,0.15,0.06,0.05,0.14,0.04,0.07,0.05,0.02,0.05,0.05,0,0.01,0,0.02,0.02,0.07,0.02,0.05,0.04
5,17,2018,5.25,0.06,0.06,0.03,0.14,0.03,0.08,0.04,0.04,0.05,0.06,0,0.02,0.01,0.02,0.01,0.05,0.02,0.06,0.01
5,17,2018,5.5,0.66,0.06,0.04,0.12,0.04,0.05,0.05,0.05,0.13,0.18,0.03,0.13,0,0.02,0.02,0.04,0.01,0.09,0.18
5,17,2018,5.75,0.08,0.04,0.05,0.12,0.04,0.06,0.06,0.09,0.07,0.09,0.03,0.05,0,0.01,0.02,0.07,0.02,0.08,0.09
5,17,2018,6,0.05,0.02,0.06,0.12,0.07,0.07,0.04,0.14,0.09,0.06,0,0.04,0,0.03,0.01,0.06,0.01,0.09,0.04
