CODE,Date,Hour,TMP,WSP,WDR
KBED,5/1/2016,0,45,6,190
KBED,5/1/2016,1,44,6,180
KBED,5/1/2016,2,42,5,200
KBED,5/1/2016,3,43,3,180
KBED,5/1/2016,4,42,3,150
KBED,5/1/2016,5,42,3,150
KBED,5/1/2016,6,43,3,160
KBED,5/1/2016,7,44,5,170
KBED,5/1/2016,8,47,3,180
KBED,5/1/2016,9,50,5,190
KBED,5/1/2016,10,52,6,180
KBED,5/1/2016,11,53,9,140
KBED,5/1/2016,12,52,5,180
KBED,5/1/2016,13,51,8,170
KBED,5/1/2016,14,51,8,120
KBED,5/1/2016,15,51,0,0
KBED,5/1/2016,16,52,12,110
KBED,5/1/2016,17,52,13,150
KBED,5/1/2016,18,51,10,110
KBED,5/1/2016,19,46,8,170
KBED,5/1/2016,20,45,7,180
KBED,5/1/2016,21,42,0,0
KBED,5/1/2016,22,42,0,0
KBED,5/1/2016,23,42,0,0
KORH,5/1/2016,0,43,10,220
KORH,5/1/2016,1,41,9,230
KORH,5/1/2016,2,41,10,230
KORH,5/1/2016,3,42,14,240
KORH,5/1/2016,4,42,12,250
KORH,5/1/2016,5,42,12,250
KORH,5/1/2016,6,43,10,250
KORH,5/1/2016,7,44,9,250
KORH,5/1/2016,8,47,6,240
KORH,5/1/2016,9,50,7,200
KORH,5/1/2016,10,50,7,170
KORH,5/1/2016,11,48,7,160
KORH,5/1/2016,12,47,5,120
KORH,5/1/2016,13,47,9,150
KORH,5/1/2016,14,48,8,140
KORH,5/1/2016,15,47,10,140
KORH,5/1/2016,16,47,8,130
KORH,5/1/2016,17,45,16,150
KORH,5/1/2016,18,42,10,140
KORH,5/1/2016,19,40,7,170
KORH,5/1/2016,20,39,8,150
KORH,5/1/2016,21,38,6,130
KORH,5/1/2016,22,38,3,100
KORH,5/1/2016,23,37,3,90
KPSM,5/1/2016,0,45,6,140
KPSM,5/1/2016,1,45,7,150
KPSM,5/1/2016,2,45,7,180
KPSM,5/1/2016,3,44,5,200
KPSM,5/1/2016,4,42,5,190
KPSM,5/1/2016,5,42,3,170
KPSM,5/1/2016,6,43,3,170
KPSM,5/1/2016,7,44,0,0
KPSM,5/1/2016,8,47,0,0
KPSM,5/1/2016,9,50,6,190
KPSM,5/1/2016,10,52,3,170
KPSM,5/1/2016,11,54,9,130
KPSM,5/1/2016,12,55,8,170
KPSM,5/1/2016,13,52,9,130
KPSM,5/1/2016,14,52,8,160
KPSM,5/1/2016,15,48,7,130
KPSM,5/1/2016,16,47,10,130
KPSM,5/1/2016,17,46,6,130
KPSM,5/1/2016,18,46,7,140
KPSM,5/1/2016,19,46,7,140
KPSM,5/1/2016,20,45,6,100
KPSM,5/1/2016,21,45,6,130
KPSM,5/1/2016,22,45,7,150
KPSM,5/1/2016,23,45,2,170
KPWM,5/1/2016,0,42,0,0
KPWM,5/1/2016,1,43,0,0
KPWM,5/1/2016,2,41,0,0
KPWM,5/1/2016,3,39,0,0
KPWM,5/1/2016,4,38,0,0
KPWM,5/1/2016,5,39,0,0
KPWM,5/1/2016,6,39,0,0
KPWM,5/1/2016,7,42,0,0
KPWM,5/1/2016,8,47,5,200
KPWM,5/1/2016,9,49,7,170
KPWM,5/1/2016,10,50,9,170
KPWM,5/1/2016,11,50,10,160
KPWM,5/1/2016,12,50,9,180
KPWM,5/1/2016,13,49,12,160
KPWM,5/1/2016,14,50,12,190
KPWM,5/1/2016,15,49,14,190
KPWM,5/1/2016,16,48,7,170
KPWM,5/1/2016,17,47,8,170
KPWM,5/1/2016,18,47,7,190
KPWM,5/1/2016,19,46,7,170
KPWM,5/1/2016,20,46,5,170
KPWM,5/1/2016,21,45,3,170
KPWM,5/1/2016,22,45,3,130
KPWM,5/1/2016,23,45,3,110
KBED,5/2/2016,0,41,0,0
KBED,5/2/2016,1,41,3,340
KBED,5/2/2016,2,42,5,10
KBED,5/2/2016,3,42,5,20
KBED,5/2/2016,4,42,5,20
KBED,5/2/2016,5,43,3,360
KBED,5/2/2016,6,43,3,20
KBED,5/2/2016,7,44,3,20
KBED,5/2/2016,8,45,6,40
KBED,5/2/2016,9,47,7,60
KBED,5/2/2016,10,48,7,20
KBED,5/2/2016,11,48,6,40
KBED,5/2/2016,12,49,10,40
KBED,5/2/2016,13,49,3,70
KBED,5/2/2016,14,51,10,110
KBED,5/2/2016,15,50,7,130
KBED,5/2/2016,16,50,0,0
KBED,5/2/2016,17,51,5,330
KBED,5/2/2016,18,52,5,320
KBED,5/2/2016,19,50,8,330
KBED,5/2/2016,20,49,6,10
KBED,5/2/2016,21,48,5,330
KBED,5/2/2016,22,47,6,20
KBED,5/2/2016,23,46,3,360
KORH,5/2/2016,0,37,3,80
KORH,5/2/2016,1,38,3,60
KORH,5/2/2016,2,38,5,30
KORH,5/2/2016,3,38,6,30
KORH,5/2/2016,4,39,7,30
KORH,5/2/2016,5,38,9,40
KORH,5/2/2016,6,39,7,40
KORH,5/2/2016,7,39,8,40
KORH,5/2/2016,8,41,6,50
KORH,5/2/2016,9,42,8,30
KORH,5/2/2016,10,43,7,60
KORH,5/2/2016,11,43,9,40
KORH,5/2/2016,12,43,9,40
KORH,5/2/2016,13,45,3,90
KORH,5/2/2016,14,46,6,90
KORH,5/2/2016,15,47,0,0
KORH,5/2/2016,16,48,5,220
KORH,5/2/2016,17,48,7,270
KORH,5/2/2016,18,48,10,270
KORH,5/2/2016,19,48,9,290
KORH,5/2/2016,20,48,6,280
KORH,5/2/2016,21,48,7,320
KORH,5/2/2016,22,47,3,330
KORH,5/2/2016,23,46,5,350
KPSM,5/2/2016,0,45,7,130
KPSM,5/2/2016,1,44,7,110
KPSM,5/2/2016,2,43,5,80
KPSM,5/2/2016,3,44,6,60
KPSM,5/2/2016,4,44,6,30
KPSM,5/2/2016,5,45,8,50
KPSM,5/2/2016,6,44,7,60
KPSM,5/2/2016,7,45,9,50
KPSM,5/2/2016,8,44,12,60
KPSM,5/2/2016,9,45,10,50
KPSM,5/2/2016,10,46,8,40
KPSM,5/2/2016,11,47,12,70
KPSM,5/2/2016,12,47,9,60
KPSM,5/2/2016,13,47,8,80
KPSM,5/2/2016,14,47,12,60
KPSM,5/2/2016,15,47,8,70
KPSM,5/2/2016,16,46,9,40
KPSM,5/2/2016,17,46,10,30
KPSM,5/2/2016,18,46,13,10
KPSM,5/2/2016,19,46,9,350
KPSM,5/2/2016,20,45,8,320
KPSM,5/2/2016,21,46,7,340
KPSM,5/2/2016,22,46,7,320
KPSM,5/2/2016,23,45,6,320
KPWM,5/2/2016,0,45,5,150
KPWM,5/2/2016,1,44,5,130
KPWM,5/2/2016,2,44,5,120
KPWM,5/2/2016,3,44,7,110
KPWM,5/2/2016,4,43,8,130
KPWM,5/2/2016,5,43,8,90
KPWM,5/2/2016,6,43,6,90
KPWM,5/2/2016,7,43,7,80
KPWM,5/2/2016,8,44,8,80
KPWM,5/2/2016,9,44,10,70
KPWM,5/2/2016,10,45,10,80
KPWM,5/2/2016,11,45,12,80
KPWM,5/2/2016,12,46,10,80
KPWM,5/2/2016,13,45,13,60
KPWM,5/2/2016,14,45,13,80
KPWM,5/2/2016,15,44,13,80
KPWM,5/2/2016,16,44,12,70
KPWM,5/2/2016,17,44,8,10
KPWM,5/2/2016,18,45,9,10
KPWM,5/2/2016,19,45,12,20
KPWM,5/2/2016,20,45,10,360
KPWM,5/2/2016,21,44,9,340
KPWM,5/2/2016,22,44,10,340
KPWM,5/2/2016,23,44,8,330
KBED,5/3/2016,0,46,0,0
KBED,5/3/2016,1,44,5,280
KBED,5/3/2016,2,44,0,0
KBED,5/3/2016,3,44,0,0
KBED,5/3/2016,4,44,0,0
KBED,5/3/2016,5,45,5,170
KBED,5/3/2016,6,45,0,0
KBED,5/3/2016,7,46,0,0
KBED,5/3/2016,8,46,5,70
KBED,5/3/2016,9,47,0,0
KBED,5/3/2016,10,49,3,40
KBED,5/3/2016,11,50,5,340
KBED,5/3/2016,12,50,0,0
KBED,5/3/2016,13,51,6,360
KBED,5/3/2016,14,52,7,60
KBED,5/3/2016,15,52,6,10
KBED,5/3/2016,16,52,5,50
KBED,5/3/2016,17,52,6,100
KBED,5/3/2016,18,50,8,110
KBED,5/3/2016,19,49,8,120
KBED,5/3/2016,20,48,5,90
KBED,5/3/2016,21,48,5,110
KBED,5/3/2016,22,47,5,170
KBED,5/3/2016,23,46,3,70
KORH,5/3/2016,0,45,3,50
KORH,5/3/2016,1,45,0,0
KORH,5/3/2016,2,44,0,0
KORH,5/3/2016,3,44,5,260
KORH,5/3/2016,4,44,5,150
KORH,5/3/2016,5,44,6,190
KORH,5/3/2016,6,45,0,0
KORH,5/3/2016,7,45,5,110
KORH,5/3/2016,8,45,6,100
KORH,5/3/2016,9,45,3,70
KORH,5/3/2016,10,45,5,70
KORH,5/3/2016,11,46,5,80
KORH,5/3/2016,12,47,7,80
KORH,5/3/2016,13,47,5,30
KORH,5/3/2016,14,47,5,0
KORH,5/3/2016,15,47,8,350
KORH,5/3/2016,16,48,6,80
KORH,5/3/2016,17,48,5,30
KORH,5/3/2016,18,48,5,30
KORH,5/3/2016,19,48,5,30
KORH,5/3/2016,20,47,3,60
KORH,5/3/2016,21,45,6,80
KORH,5/3/2016,22,44,6,110
KORH,5/3/2016,23,44,0,0
KPSM,5/3/2016,0,45,10,340
KPSM,5/3/2016,1,43,5,290
KPSM,5/3/2016,2,43,7,320
KPSM,5/3/2016,3,43,3,280
KPSM,5/3/2016,4,42,5,250
KPSM,5/3/2016,5,43,3,10
KPSM,5/3/2016,6,44,0,0
KPSM,5/3/2016,7,44,5,160
KPSM,5/3/2016,8,45,1,180
KPSM,5/3/2016,9,46,5,80
KPSM,5/3/2016,10,47,2,140
KPSM,5/3/2016,11,47,2,190
KPSM,5/3/2016,12,50,3,260
KPSM,5/3/2016,13,50,2,320
KPSM,5/3/2016,14,51,1,120
KPSM,5/3/2016,15,52,2,0
KPSM,5/3/2016,16,51,6,150
KPSM,5/3/2016,17,50,8,110
KPSM,5/3/2016,18,49,6,110
KPSM,5/3/2016,19,49,6,100
KPSM,5/3/2016,20,48,2,120
KPSM,5/3/2016,21,47,2,120
KPSM,5/3/2016,22,46,3,110
KPSM,5/3/2016,23,46,0,0
KPWM,5/3/2016,0,44,6,350
KPWM,5/3/2016,1,43,9,330
KPWM,5/3/2016,2,43,7,350
KPWM,5/3/2016,3,43,5,350
KPWM,5/3/2016,4,42,6,10
KPWM,5/3/2016,5,41,3,300
KPWM,5/3/2016,6,42,5,360
KPWM,5/3/2016,7,42,5,10
KPWM,5/3/2016,8,43,0,0
KPWM,5/3/2016,9,46,0,0
KPWM,5/3/2016,10,49,3,0
KPWM,5/3/2016,11,50,3,0
KPWM,5/3/2016,12,51,0,0
KPWM,5/3/2016,13,51,5,130
KPWM,5/3/2016,14,50,6,160
KPWM,5/3/2016,15,49,5,170
KPWM,5/3/2016,16,49,5,180
KPWM,5/3/2016,17,50,6,200
KPWM,5/3/2016,18,49,5,180
KPWM,5/3/2016,19,48,5,140
KPWM,5/3/2016,20,47,6,170
KPWM,5/3/2016,21,46,5,170
KPWM,5/3/2016,22,45,3,160
KPWM,5/3/2016,23,45,0,0
KBED,5/4/2016,0,46,0,0
KBED,5/4/2016,1,46,0,0
KBED,5/4/2016,2,45,0,0
KBED,5/4/2016,3,45,3,40
KBED,5/4/2016,4,45,3,60
KBED,5/4/2016,5,45,3,60
KBED,5/4/2016,6,45,6,60
KBED,5/4/2016,7,45,5,50
KBED,5/4/2016,8,46,5,50
KBED,5/4/2016,9,47,8,70
KBED,5/4/2016,10,48,10,70
KBED,5/4/2016,11,49,12,100
KBED,5/4/2016,12,50,15,100
KBED,5/4/2016,13,50,15,70
KBED,5/4/2016,14,49,15,80
KBED,5/4/2016,15,49,10,60
KBED,5/4/2016,16,47,14,60
KBED,5/4/2016,17,46,14,60
KBED,5/4/2016,18,45,9,50
KBED,5/4/2016,19,44,10,40
KBED,5/4/2016,20,43,10,50
KBED,5/4/2016,21,43,12,30
KBED,5/4/2016,22,43,9,30
KBED,5/4/2016,23,43,8,10
KORH,5/4/2016,0,43,0,0
KORH,5/4/2016,1,43,5,50
KORH,5/4/2016,2,43,3,50
KORH,5/4/2016,3,43,3,80
KORH,5/4/2016,4,43,3,40
KORH,5/4/2016,5,42,5,30
KORH,5/4/2016,6,42,7,60
KORH,5/4/2016,7,42,7,80
KORH,5/4/2016,8,43,9,80
KORH,5/4/2016,9,44,10,70
KORH,5/4/2016,10,44,10,60
KORH,5/4/2016,11,45,7,80
KORH,5/4/2016,12,45,12,70
KORH,5/4/2016,13,46,10,70
KORH,5/4/2016,14,45,12,80
KORH,5/4/2016,15,44,13,70
KORH,5/4/2016,16,44,13,50
KORH,5/4/2016,17,44,13,60
KORH,5/4/2016,18,43,10,60
KORH,5/4/2016,19,42,16,50
KORH,5/4/2016,20,41,14,50
KORH,5/4/2016,21,40,12,60
KORH,5/4/2016,22,40,9,50
KORH,5/4/2016,23,39,15,40
KPSM,5/4/2016,0,45,3,220
KPSM,5/4/2016,1,44,2,330
KPSM,5/4/2016,2,42,1,10
KPSM,5/4/2016,3,40,1,20
KPSM,5/4/2016,4,40,1,350
KPSM,5/4/2016,5,40,1,20
KPSM,5/4/2016,6,42,3,50
KPSM,5/4/2016,7,44,3,30
KPSM,5/4/2016,8,46,5,60
KPSM,5/4/2016,9,49,7,70
KPSM,5/4/2016,10,49,10,110
KPSM,5/4/2016,11,49,9,100
KPSM,5/4/2016,12,48,10,80
KPSM,5/4/2016,13,49,10,90
KPSM,5/4/2016,14,48,9,80
KPSM,5/4/2016,15,47,10,70
KPSM,5/4/2016,16,46,10,80
KPSM,5/4/2016,17,44,13,60
KPSM,5/4/2016,18,43,14,50
KPSM,5/4/2016,19,43,10,50
KPSM,5/4/2016,20,42,8,30
KPSM,5/4/2016,21,42,9,40
KPSM,5/4/2016,22,42,10,30
KPSM,5/4/2016,23,42,9,30
