"Settlement Date","TI","Total Demand"
"01/01/2010","01","13,797.000"
"01/01/2010","02","13,560.000"
"01/01/2010","03","13,121.000"
"01/01/2010","04","13,134.000"
"01/01/2010","05","13,144.000"
"01/01/2010","06","12,970.000"
"01/01/2010","07","13,063.000"
"01/01/2010","08","13,152.000"
"01/01/2010","09","13,566.000"
"01/01/2010","10","13,980.000"
"01/01/2010","11","14,627.000"
"01/01/2010","12","14,890.000"
"01/01/2010","13","14,972.000"
"01/01/2010","14","14,826.000"
"01/01/2010","15","14,704.000"
"01/01/2010","16","14,866.000"
"01/01/2010","17","16,010.000"
"01/01/2010","18","17,138.000"
"01/01/2010","19","16,941.000"
"01/01/2010","20","16,458.000"
"01/01/2010","21","15,934.000"
"01/01/2010","22","15,181.000"
"01/01/2010","23","14,182.000"
"01/01/2010","24","13,098.000"
"01/02/2010","01","12,512.000"
"01/02/2010","02","12,195.000"
"01/02/2010","03","12,227.000"
"01/02/2010","04","12,241.000"
"01/02/2010","05","12,102.000"
"01/02/2010","06","12,191.000"
"01/02/2010","07","12,412.000"
"01/02/2010","08","13,090.000"
"01/02/2010","09","14,111.000"
"01/02/2010","10","15,017.000"
"01/02/2010","11","15,622.000"
"01/02/2010","12","15,870.000"
"01/02/2010","13","15,915.000"
"01/02/2010","14","15,771.000"
"01/02/2010","15","15,693.000"
"01/02/2010","16","15,802.000"
"01/02/2010","17","17,034.000"
"01/02/2010","18","18,250.000"
"01/02/2010","19","18,163.000"
"01/02/2010","20","17,707.000"
"01/02/2010","21","17,213.000"
"01/02/2010","22","16,399.000"
"01/02/2010","23","15,425.000"
"01/02/2010","24","14,263.000"
"01/03/2010","01","13,497.000"
"01/03/2010","02","13,111.000"
"01/03/2010","03","13,059.000"
"01/03/2010","04","12,916.000"
"01/03/2010","05","12,751.000"
"01/03/2010","06","13,057.000"
"01/03/2010","07","13,528.000"
"01/03/2010","08","13,848.000"
"01/03/2010","09","14,746.000"
"01/03/2010","10","15,648.000"
"01/03/2010","11","16,272.000"
"01/03/2010","12","16,645.000"
"01/03/2010","13","16,778.000"
"01/03/2010","14","16,706.000"
"01/03/2010","15","16,593.000"
"01/03/2010","16","17,026.000"
"01/03/2010","17","18,171.000"
"01/03/2010","18","19,307.000"
"01/03/2010","19","19,068.000"
"01/03/2010","20","18,464.000"
"01/03/2010","21","17,676.000"
"01/03/2010","22","16,565.000"
"01/03/2010","23","15,448.000"
"01/03/2010","24","14,346.000"
"01/04/2010","01","13,863.000"
"01/04/2010","02","14,001.000"
"01/04/2010","03","13,770.000"
